id;location_description;latitude;longitude;area;street;flat_no;building_name;villa_no;address_type
1;virtual;39925;91323;Configuration;Grady Station;7816;Home;Chief Granite;OTHER
2;Mill Assurance;16527;59723;Clothing;Felipa Union;35443;Florida bus;back-end;HOME
3;Granite Dollar;14509;84200;National Incredible;Simonis Terrace;38425;Georgia Arkansas;Metrics generation;HOME
4;withdrawal;54490;57557;blue;Pamela Club;37310;Tasty;Shoes Gourde;WORK
5;Web PNG conglomeration;98382;35481;Towels;Hartmann Pass;34733;Fantastic;Total;WORK
6;syndicate;29220;78445;Configuration reboot;Blick Lodge;94913;Car moderator Awesome;hierarchy;HOME
7;Arizona;98033;3571;capacitor Refined;Stokes Lights;11061;Concrete matrices;scalable Oval azure;STORE
8;generating;68529;33037;paradigm initiative;Melyna Rest;1060;Bedfordshire;Sweden;WORK
9;Directives Programmable redundant;80801;33495;Robust hacking;Walsh Cliff;50593;Chicken Analyst;SAS Metal Awesome;WORK
10;mission-critical COM;79607;26429;Arizona input;Nichole Island;20012;Director;Bedfordshire Avon;HOME
